"","county","railyards_crpm_avg","airport_crpm_avg","lightduty_crpm_avg","heavyduty_crpm_avg","cmv_loco_crpm_avg","np_10m_releaseheight_crpm_avg","np_low_releaseheight_crpm_avg","rwc_crpm_avg","cmv_crpm_avg","biogenics_crpm_avg","fires_crpm_avg","secondary_crpm_avg","total_crpm_avg"
"Santa Clara","Santa Clara",0.0896864558021732,0.312151158277158,0.422958363537719,0.585791903355813,0.289802460811124,0.157136016039765,0.271183698017798,0.180419870130002,0.0149017087514574,0.139443415746651,0.0918347904600841,0.318769694580158,0.444726617205677
"Santa Cruz","Santa Cruz",0.0547268754525655,0.080160612966114,0.244910261941799,0.262492173234074,0.126749061000379,0.0288228409980525,0.14001787257352,0.180754884973169,0.000713853486872628,0.413373526519595,0.137222967958777,0.183393430754214,0.263860455126207
"Shasta","Shasta",0.0398968462173907,0.0805626906624165,0.120855220599869,0.339363663924159,0.172746117593619,0.254977060806461,0.268451215245157,0.245049814325529,0,0.840583629087957,0.43167477642647,0.722575607686257,0.34548612969301
"Sierra","Sierra",0.000763247209739456,0.021332045501395,0.0122085863083781,0.016581104167962,0.0542108617101899,0.013662388818779,0.0173979722316827,0.0310420029924081,8.63393222917851e-06,0.319563472092801,0.425211177800787,0.370386745795521,0.0946880035165383
"Siskiyou","Siskiyou",0.923740447666051,0.0128880019713769,0.0298871902046353,0.0742782884021494,0.021004565332937,0.042487206639284,0.0231170728499375,0.0442866297475832,0,0.469145593785875,0.468316484071927,0.261072330276215,0.110178022788511
"Solano","Solano",0.0881976739840097,0.0708033253653862,0.250074477097159,0.509614502749636,0.182581542889583,0.277473262797795,0.146892335587644,0.284464867703411,0.0349941699846244,0.230289682367785,0.248440093687347,0.312049342022331,0.339158722562046
"Sonoma","Sonoma",0.0351333580771812,0.0532541989122236,0.250013508776523,0.318100224704017,0.140181497821175,0.0283645349822415,0.129395202018394,0.27579157034163,0.00191207856489218,0.45854407988465,0.258203114652868,0.275948174098921,0.312430555318327
"Stanislaus","Stanislaus",0.415418507988533,0.0772357244220686,0.294432765331427,0.482533430128947,0.212558237136181,0.110638399768982,0.31141094558097,0.246975927436428,0.00428474733312213,0.467738632134496,0.3710024092665,0.64533340500414,0.438300364704621
"Sutter","Sutter",0.106351659854008,0.0723406863202566,0.222805854438303,0.587718037708402,0.166574738058009,0.411641768342354,0.143205084213576,0.495021489316839,0.000427777410082682,0.826237712881667,0.736534946670291,0.914196222178749,0.510003812782477
"Tehama","Tehama",0.0509956908041561,0.0650363154177374,0.074596137863396,0.274534700140655,0.0813632065560737,0.365192351846136,0.137029935881001,0.164356961161847,0,0.94937326706959,0.548240823422681,0.778096273001058,0.291469858187304
"Trinity","Trinity",0.00920462711926261,0.0640611345804698,0,0.0121061838750285,0.0225644993890387,0.0294911849932078,0.00554896110309111,0.0134518781863691,0.000107680376634064,0.69785805670281,0.570628067273474,0.270290902856455,0.0813037094283414
"Tulare","Tulare",0.202612354249051,0.0865788884897385,0.250748372960399,0.460762916439575,0.166721275241745,0.0201891317059835,0.186622923531194,0.126527345991474,0,0.908581074403589,0.418681653548998,1,0.434595524127806
"Tuolumne","Tuolumne",0.0136374133339105,0.0832643334869112,0.0604498397806376,0.0570124150172415,0.119554988510402,0.161150347158862,0.0181974341696513,0.125026186639616,0,0.601163539401181,0.487553281830395,0.704693674841882,0.23552026152696
"Ventura","Ventura",0.0766955778743229,0.0983377915139775,0.21192064998944,0.248092382295738,0.181753011774807,0.0497193848234806,0.148124421979629,0.147156112527611,0.0436666206638687,0.305860715157583,0.0849461642773158,0.40991418208122,0.281755532965802
"Yolo","Yolo",0.0686744347389767,0.169781594572536,0.24426674703051,0.381096487546358,0.164276496252097,0.160484371468071,0.204559258561975,0.626885596876216,0.0473882689462396,0.549311909905299,0.429859144022503,0.620377705337348,0.469874809880184
"Yuba","Yuba",0.121810277931824,0.121772937226487,0.150230287630097,0.244527357799232,0.138023591558605,0.377525895820601,0.153749418357595,0.362121683683747,0.000131335557927924,0.833496867265773,0.666012491818024,0.95636336358582,0.425654991477559
